iter	Passed	Remaining
0	4	397
1	6	335
2	9	292
3	10	260
4	13	256
5	15	244
6	17	233
7	19	221
8	21	213
9	22	203
10	23	192
11	25	183
12	26	174
13	27	166
14	28	159
15	29	152
16	29	146
17	30	140
18	31	134
19	32	130
20	33	125
21	34	121
22	34	116
23	35	113
24	36	109
25	37	105
26	37	102
27	38	99
28	39	96
29	39	93
30	40	90
31	41	87
32	41	84
33	42	82
34	43	80
35	43	78
36	44	76
37	45	74
38	46	72
39	46	70
40	47	68
41	47	66
42	48	64
43	49	62
44	50	61
45	50	59
46	51	57
47	52	56
48	52	54
49	53	53
50	54	52
51	54	50
52	55	49
53	56	47
54	56	46
55	57	44
56	57	43
57	58	42
58	59	41
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	71	21
77	72	20
78	73	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	87	0
