iter	Passed	Remaining
0	144	144201
1	145	72564
2	146	48697
3	147	36755
4	148	29583
5	149	24787
6	150	21400
7	152	18874
8	153	16879
9	154	15277
10	155	13970
11	156	12918
12	158	12001
13	159	11204
14	160	10511
15	161	9902
16	161	9364
17	162	8885
18	164	8477
19	165	8107
20	166	7774
21	167	7459
22	168	7174
23	169	6907
24	171	6673
25	172	6445
26	172	6233
27	173	6035
28	174	5852
29	175	5681
30	176	5525
31	178	5386
32	179	5261
33	180	5135
34	181	5013
35	182	4895
36	183	4785
37	185	4688
38	186	4589
39	187	4492
40	188	4401
41	189	4315
42	190	4232
43	191	4155
44	193	4096
45	194	4025
46	195	3955
47	196	3888
48	197	3824
49	198	3764
50	199	3706
51	200	3649
52	201	3595
53	202	3543
54	203	3492
55	204	3442
56	205	3400
57	206	3358
58	207	3317
59	209	3274
60	210	3233
61	211	3197
62	212	3158
63	213	3121
64	214	3085
65	215	3049
66	216	3015
67	217	2983
68	218	2950
69	219	2921
70	221	2896
71	222	2868
72	223	2838
73	224	2810
74	225	2781
75	226	2758
76	227	2730
77	228	2704
78	229	2678
79	230	2653
80	231	2628
81	232	2605
82	233	2577
83	235	2563
84	236	2544
85	237	2525
86	238	2505
87	239	2485
88	241	2467
89	241	2446
90	242	2426
91	243	2407
92	244	2388
93	245	2368
94	246	2349
95	247	2331
96	250	2328
97	251	2314
98	252	2299
99	253	2282
100	254	2266
101	255	2252
102	256	2236
103	257	2220
104	258	2204
105	259	2189
106	260	2174
107	261	2159
108	262	2145
109	264	2138
110	265	2127
111	266	2114
112	267	2101
113	268	2089
114	269	2077
115	271	2066
116	272	2053
117	273	2044
118	274	2032
119	275	2020
120	276	2008
121	277	1996
122	279	1991
123	280	1981
124	281	1970
125	282	1960
126	283	1949
127	284	1940
128	286	1931
129	287	1921
130	288	1911
131	289	1901
132	290	1891
133	291	1881
134	292	1876
135	294	1869
136	295	1860
137	296	1851
138	297	1843
139	298	1835
140	300	1827
141	301	1819
142	302	1813
143	303	1806
144	305	1799
145	307	1797
146	309	1793
147	310	1785
148	311	1778
149	312	1770
150	313	1765
151	315	1757
152	316	1749
153	317	1742
154	318	1734
155	319	1727
156	321	1725
157	323	1722
158	324	1718
159	326	1711
160	326	1703
161	328	1696
162	329	1691
163	330	1685
164	331	1679
165	332	1672
166	333	1665
167	336	1664
168	337	1660
169	338	1654
170	339	1647
171	340	1641
172	342	1637
173	343	1630
174	344	1624
175	345	1619
176	346	1613
177	347	1606
178	348	1600
179	350	1597
180	352	1594
181	353	1589
182	354	1583
183	355	1578
184	357	1574
185	358	1568
186	359	1562
187	360	1556
188	361	1551
189	362	1546
190	364	1543
191	366	1541
192	367	1536
193	368	1531
194	369	1525
195	370	1520
196	372	1516
197	373	1511
198	374	1506
199	375	1500
200	376	1495
201	377	1490
202	378	1487
203	380	1485
204	382	1482
205	383	1477
206	384	1472
207	385	1467
208	386	1464
209	387	1459
210	388	1454
211	390	1449
212	391	1445
213	393	1443
214	395	1444
215	396	1440
216	398	1436
217	399	1432
218	400	1428
219	402	1425
220	403	1421
221	405	1420
222	406	1416
223	409	1418
224	410	1415
225	412	1411
226	413	1407
227	414	1403
228	415	1400
229	417	1396
230	418	1392
231	419	1388
232	420	1384
233	421	1380
234	423	1379
235	425	1377
236	426	1373
237	427	1368
238	428	1364
239	429	1361
240	431	1357
241	432	1353
242	433	1349
243	434	1345
244	435	1341
245	436	1338
246	438	1335
247	439	1332
248	440	1328
249	441	1324
250	442	1320
251	443	1316
252	444	1313
253	445	1309
254	446	1305
255	447	1301
256	449	1298
257	450	1294
258	451	1292
259	453	1290
260	454	1286
261	455	1283
262	456	1279
263	457	1276
264	458	1272
265	459	1268
266	460	1265
267	461	1261
268	462	1258
269	463	1254
270	465	1250
271	466	1249
272	468	1246
273	469	1243
274	470	1239
275	471	1236
276	472	1234
277	474	1231
278	475	1227
279	476	1224
280	477	1221
281	478	1217
282	479	1214
283	480	1211
